activity;sampleId;stamp;alpha;beta;gamma;x;y;z
hands;Hands_Id1;1635417249549;0.7001;64.7;0.8;0;0.1;-0.2
hands;Hands_Id1;1635417249609;1.8;64.601;-0.2;0.4;-0.1;0
hands;Hands_Id1;1635417249674;2.3003;64.7;-0.7001;0.2;0;-0.1
hands;Hands_Id1;1635417249734;2.5;64.3;-1.3;0.2;-0.2;0
hands;Hands_Id1;1635417249789;2.5;62.7;-3.3003;-0.2;0.2;0.2
hands;Hands_Id1;1635417249848;2.6;61.804;-4.7;0.5;-0.30004;0.1
hands;Hands_Id1;1635417249915;2.2;61.7;-5.301;-0.4;0.30004;-0.30004
hands;Hands_Id1;1635417250010;2;61.304;-5.2;-0.30004;-0.1;0.1
hands;Hands_Id1;1635417250067;1.4001;60.6;-5.5;0;0;0.5
hands;Hands_Id1;1635417250120;0.5;61.2;-4.801;0;-0.1;-0.1
hands;Hands_Id1;1635417250176;358.5;62.304;-3.1;-0.4;0.1;-0.30004
hands;Hands_Id1;1635417250235;356.8;63.304;-1.6;-0.4;0.30004;-0.4
hands;Hands_Id1;1635417250296;356.5;63.804;-1.2002;0;-0.1;-0.1
hands;Hands_Id1;1635417250347;356.8;64;-1.5;0.30004;-0.1;-0.1
hands;Hands_Id1;1635417250407;357.3;64;-2;0.4;-0.1;-0.1
hands;Hands_Id1;1635417250491;357.5;63.906;-2.2;0;0;0.2
hands;Hands_Id1;1635417250573;354.5;64.5;1.1;-0.4;0.2;-0.2
hands;Hands_Id1;1635417250632;352.6;64.7;2.9004;-0.30004;0.1;-0.1
hands;Hands_Id1;1635417250689;351.6;64.8;4.3;-0.4;0.1;-0.4
hands;Hands_Id1;1635417250743;351.8;64.5;4.3;-0.1;0.1;0
hands;Hands_Id1;1635417250802;352.903;63.6;3.5;0.2;-0.1;0.6001
hands;Hands_Id1;1635417250862;354;62.906;2.5;0.4;-0.1;0.7001
hands;Hands_Id1;1635417250922;354.3;63;2.1;0.1;0;0.1
hands;Hands_Id1;1635417250978;354.6;63.2;1.7002;0.1;0;-0.1
hands;Hands_Id1;1635417251034;354.8;63.406;1.4001;0.1;0;-0.2
hands;Hands_Id1;1635417251087;354.6;63.5;1.5;0.1;0;0
hands;Hands_Id1;1635417251146;354.1;63.5;2;-0.1;0;0
hands;Hands_Id1;1635417251203;353.8;63.5;2.3003;-0.2;0.1;0.1
hands;Hands_Id1;1635417251260;353.705;63.5;2.2;0;-0.1;0
hands;Hands_Id1;1635417251315;353.8;63.6;2.1;0;0.1;0
hands;Hands_Id1;1635417251366;353.903;63.6;1.9001;0.1;-0.1;0
hands;Hands_Id1;1635417251403;353.903;63.6;1.9001;0;0;0
hands;Hands_Id1;1635417251433;353.903;63.6;1.9001;0;0;0.1
hands;Hands_Id1;1635417251484;353.8;63.6;2;-0.1;0;0.1
hands;Hands_Id1;1635417251537;353.705;63.6;2.1;0;0;-0.1
hands;Hands_Id1;1635417251574;353.6;63.7;2.2;0;0;-0.1
hands;Hands_Id1;1635417251622;353.6;63.804;2.2;0;0;0
hands;Hands_Id1;1635417251675;353.705;63.804;2;0;0;0.1
hands;Hands_Id1;1635417251732;353.8;63.7;1.9001;0;0;0
hands;Hands_Id1;1635417251791;353.903;63.804;1.8;0.1;0;-0.2
hands;Hands_Id1;1635417251851;354.1;63.906;1.6;0.1;0;0
hands;Hands_Id1;1635417251905;354.205;63.804;1.4001;0;0;0
hands;Hands_Id1;1635417251918;354.205;63.804;1.4001;0;0;0
hands;Hands_Id1;1635417251959;354.205;63.804;1.4001;0;0;0.1
hands;Hands_Id1;1635417252011;354.205;63.804;1.4001;0.1;0;0.1
hands;Hands_Id1;1635417252063;354.5;63.804;1;0.2;-0.1;0.1
hands;Hands_Id1;1635417252117;355;63.7;0.30004;0.2;-0.1;0.2
hands;Hands_Id1;1635417252177;356.3;63.906;-1.2002;0.1;0;0
hands;Hands_Id1;1635417252236;358.205;64.3;-3.2;0.30004;0;-0.6001
hands;Hands_Id1;1635417252300;359.705;62.804;-4.801;-0.1;-0.30004;0.1
hands;Hands_Id1;1635417252361;359.205;62.1;-4.801;-0.5;0;0.30004
hands;Hands_Id1;1635417252420;358.3;62.6;-4.1005;-0.5;0.2;-0.30004
hands;Hands_Id1;1635417252481;357.1;62.804;-3.3003;-0.30004;0.1;0.1
hands;Hands_Id1;1635417252546;356.6;63.1;-3;0;0.1;-0.2
hands;Hands_Id1;1635417252610;357.5;63.2;-4.1005;0.1;0;-0.1
hands;Hands_Id1;1635417252674;358.5;62.906;-4.801;0.4;-0.2;0.1
hands;Hands_Id1;1635417252730;358.5;62.906;-4.7;0;0;0
hands;Hands_Id1;1635417252788;358.205;63.2;-4.2;-0.1;0;-0.2
