activity;sampleId;stamp;alpha;beta;gamma;x;y;z
stand;1;1636026682258;64.1;37.4;1.6;0;0;0.4
stand;1;1636026682280;63.8;37.3;1.3;-0.1;-0.1;0.2
stand;1;1636026682293;63.8;37.3;1.3;0;-0.1;0.2
stand;1;1636026682316;63.6;37.1;1.3;-0.1;-0.1;0.1
stand;1;1636026682330;63.6;37.1;1.3;0;0;0.1
stand;1;1636026682354;63.4;36.9;1.2;0.1;0.1;0
stand;1;1636026682382;63.2;36.9;1.1;0.1;0.2;-0.3
stand;1;1636026682402;63.2;36.9;1.1;0;0;0
stand;1;1636026682429;63.1;37.1;0.9;0;0;0.1
stand;1;1636026682449;63.1;37.1;0.9;0;0;0
stand;1;1636026682468;62.9;37.1;0.8;0;0;-0.1
stand;1;1636026682495;62.8;37.1;0.6;0;-0.1;0
stand;1;1636026682508;62.8;37.1;0.6;-0.1;-0.1;0
stand;1;1636026682528;62.7;37;0.5;-0.1;0;0
stand;1;1636026682547;62.6;37.1;0.3;-0.1;0.1;0
stand;1;1636026682559;62.6;37.1;0.3;-0.1;0.1;-0.1
stand;1;1636026682571;62.5;37.1;0.2;-0.1;0.1;-0.1
stand;1;1636026682582;62.4;37.1;0.1;-0.1;0.1;-0.1
stand;1;1636026682588;62.4;37.1;0.1;-0.1;0.1;-0.1
stand;1;1636026682592;62.4;37.1;0.1;-0.1;0.1;-0.1
stand;1;1636026682597;62.4;37.1;0.1;-0.1;0.1;-0.1
stand;1;1636026682601;62.4;37.1;0.1;-0.1;0.1;-0.1
stand;1;1636026682620;62.3;37.1;-0.1;-0.2;-0.2;-0.2
stand;1;1636026682638;62.3;37.2;-0.1;-0.1;-0.1;-0.2
stand;1;1636026682656;62.2;37.2;-0.1;0;0;-0.1
stand;1;1636026682675;62.1;37.3;-0.2;0;0.1;0
stand;1;1636026682694;62;37.4;-0.2;0;0;0.2
stand;1;1636026682706;62;37.4;-0.2;0;-0.1;0.2
stand;1;1636026682719;61.9;37.5;-0.2;0;-0.1;0.8
stand;1;1636026682738;61.9;37.6;-0.3;0.4;0.1;1.2
stand;1;1636026682758;61.8;37.6;-0.4;0;-0.1;0.3
stand;1;1636026682779;61.6;37.5;-0.5;-0.3;-0.3;-0.1
stand;1;1636026682794;61.6;37.5;-0.5;-0.1;0;-0.2
stand;1;1636026682814;61.4;37.3;-0.4;0;0.1;-0.2
stand;1;1636026682831;61.2;37.3;-0.4;0;0.2;-0.1
stand;1;1636026682842;61.2;37.3;-0.4;0;0.1;-0.2
stand;1;1636026682849;61.1;37.4;-0.4;0;0.1;-0.2
stand;1;1636026682853;61.1;37.4;-0.4;0;0.1;-0.2
stand;1;1636026682858;61.1;37.4;-0.4;0;0.1;-0.2
stand;1;1636026682862;61.1;37.4;-0.4;0;0.1;-0.2
stand;1;1636026682866;61.1;37.4;-0.4;0;0.1;-0.2
stand;1;1636026682871;61.1;37.4;-0.4;0;0.1;-0.2
stand;1;1636026682891;61;37.6;-0.4;0;0;0
stand;1;1636026682913;60.9;37.7;-0.3;-0.1;-0.1;0.1
stand;1;1636026682931;60.8;37.7;-0.3;-0.2;-0.2;0.2
stand;1;1636026682937;60.8;37.7;-0.3;-0.1;-0.2;0.2
stand;1;1636026682955;60.6;37.7;-0.2;0;-0.1;0.1
stand;1;1636026682973;60.5;37.7;-0.2;0.1;0;0.1
stand;1;1636026682992;60.4;37.7;-0.1;0;-0.1;0
stand;1;1636026683010;60.2;37.7;-0.1;0;-0.1;-0.1
stand;1;1636026683024;60.2;37.7;-0.1;0.1;0;-0.1
stand;1;1636026683037;60.1;37.7;0;0.1;0.1;-0.1
stand;1;1636026683055;60;37.8;0;0.2;0.2;0
stand;1;1636026683067;60;37.8;0;0.1;0.1;0
stand;1;1636026683072;60;37.8;0;0.1;0.1;0
stand;1;1636026683076;60;37.8;0;0.1;0.1;0
stand;1;1636026683081;60;37.8;0;0.1;0.1;0
stand;1;1636026683085;60;37.8;0;0.1;0.1;0
stand;1;1636026683102;60;37.8;0;0;-0.1;0.1
stand;1;1636026683106;60;37.8;0;0;-0.1;0.1
stand;1;1636026683111;60;37.8;0;0;-0.1;0.1
stand;1;1636026683115;60;37.8;0;0;-0.1;0.1
stand;1;1636026683119;60;37.8;0;0;-0.1;0.1
stand;1;1636026683140;59.8;37.9;0;-0.1;0;0.2
stand;1;1636026683153;59.7;38;-0.1;-0.1;0;0.1
stand;1;1636026683164;59.7;38;-0.1;-0.1;-0.1;0.1
stand;1;1636026683169;59.7;38;-0.1;-0.1;-0.1;0.1
stand;1;1636026683183;59.6;38;-0.2;-0.1;-0.1;0
stand;1;1636026683187;59.6;38;-0.2;-0.1;-0.1;0
stand;1;1636026683192;59.6;38;-0.2;-0.1;-0.1;0
stand;1;1636026683196;59.6;38;-0.2;-0.1;-0.1;0
stand;1;1636026683201;59.6;38;-0.2;-0.1;-0.1;0
stand;1;1636026683222;59.4;38;-0.2;0;0;0
stand;1;1636026683231;59.3;37.9;-0.2;0;0;0
stand;1;1636026683235;59.3;37.9;-0.2;0;0;0
stand;1;1636026683250;59.2;37.9;-0.3;0;0;-0.1
stand;1;1636026683254;59.2;37.9;-0.3;0;0;-0.1
stand;1;1636026683258;59.2;37.9;-0.3;0;0;-0.1
stand;1;1636026683263;59.2;37.9;-0.3;0;0;-0.1
stand;1;1636026683267;59.2;37.9;-0.3;0;0;-0.1
stand;1;1636026683289;59;38;-0.3;0;0.1;0
stand;1;1636026683301;58.9;38.1;-0.3;0;0;0
stand;1;1636026683306;58.9;38.1;-0.3;0;0;0
stand;1;1636026683310;58.9;38.1;-0.3;0;0;0
stand;1;1636026683315;58.9;38.1;-0.3;0;0;0
stand;1;1636026683319;58.9;38.1;-0.3;0;0;0
stand;1;1636026683337;58.8;38.1;-0.3;0;0;-0.1
stand;1;1636026683341;58.8;38.1;-0.3;0;0;-0.1
stand;1;1636026683346;58.8;38.1;-0.3;0;0;-0.1
stand;1;1636026683350;58.8;38.1;-0.3;0;0;-0.1
stand;1;1636026683354;58.8;38.1;-0.3;0;0;-0.1
stand;1;1636026683375;58.6;38.2;-0.3;0;0.1;0.1
stand;1;1636026683393;58.5;38.3;-0.3;-0.1;0;0.1
stand;1;1636026683404;58.4;38.4;-0.3;-0.1;0;0.1
stand;1;1636026683408;58.4;38.4;-0.3;-0.1;0;0.1
stand;1;1636026683413;58.4;38.4;-0.3;-0.1;0;0.1
stand;1;1636026683417;58.4;38.4;-0.3;-0.1;0;0.1
stand;1;1636026683438;58.3;38.4;-0.3;-0.1;-0.1;0.2
stand;1;1636026683451;58.2;38.5;-0.3;0;-0.1;0.2
stand;1;1636026683470;58.1;38.5;-0.3;0.1;0;1.9
stand;1;1636026683489;58;38.4;-0.3;0.2;-0.2;0.2
stand;1;1636026683507;58;38.3;-0.3;0;0.1;-0.2
stand;1;1636026683526;57.9;38.2;-0.3;-0.2;-0.2;0
stand;1;1636026683546;57.8;37.9;-0.2;-0.1;0;-0.3
stand;1;1636026683559;57.8;37.9;-0.2;0;0;-0.4
stand;1;1636026683578;57.7;37.9;-0.2;0;0.1;-0.1
stand;1;1636026683595;57.6;37.9;-0.1;0;0.1;-0.3
stand;1;1636026683614;57.5;38;-0.1;0;0;-0.2
stand;1;1636026683627;57.5;38.1;-0.1;0;-0.1;-0.1
stand;1;1636026683636;57.5;38.1;-0.1;0;-0.1;0
stand;1;1636026683645;57.5;38.1;-0.1;0;-0.1;-0.1
stand;1;1636026683665;57.5;38.1;-0.1;0;-0.1;-0.1
stand;1;1636026683682;57.4;38.1;0;0;-0.1;-0.1
stand;1;1636026683702;57.3;38.2;0;0.1;0.1;0
stand;1;1636026683707;57.3;38.2;0;0.1;0.1;0
stand;1;1636026683711;57.3;38.2;0;0.1;0.1;0
stand;1;1636026683716;57.3;38.2;0;0.1;0.1;0
stand;1;1636026683720;57.3;38.2;0;0.1;0.1;0
stand;1;1636026683740;57.3;38.3;-0.1;0;-0.1;0
stand;1;1636026683746;57.3;38.3;-0.2;0;-0.1;0
stand;1;1636026683752;57.3;38.3;-0.2;0;-0.1;0
stand;1;1636026683767;57.3;38.4;-0.2;-0.1;-0.2;0.1
stand;1;1636026683785;57.2;38.4;-0.3;-0.2;-0.1;0.1
stand;1;1636026683805;57.1;38.4;-0.3;-0.1;0;0
stand;1;1636026683822;57;38.4;-0.4;-0.1;0;-0.1
stand;1;1636026683834;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683838;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683842;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683847;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683851;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683855;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683860;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683864;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683868;57;38.4;-0.4;0;0.1;-0.1
stand;1;1636026683880;56.8;38.5;-0.6;0;0.1;-0.1
stand;1;1636026683887;56.8;38.5;-0.6;0;0.1;-0.1
stand;1;1636026683891;56.8;38.5;-0.6;0;0.1;-0.1
stand;1;1636026683896;56.8;38.5;-0.6;0;0.1;-0.1
stand;1;1636026683900;56.8;38.5;-0.6;0;0.1;-0.1
stand;1;1636026683920;56.7;38.6;-0.7;0.1;0.1;-0.1
stand;1;1636026683941;56.6;38.7;-0.8;0.1;0.1;0.1
stand;1;1636026683962;56.5;38.8;-0.9;0;0;0.1
stand;1;1636026683973;56.5;38.8;-0.9;0;-0.1;0
stand;1;1636026683987;56.4;38.9;-0.9;0;0;0.1
stand;1;1636026683998;56.4;38.9;-0.9;0.1;0.1;0.1
stand;1;1636026684002;56.4;38.9;-0.9;0.1;0.1;0.1
stand;1;1636026684007;56.4;38.9;-0.9;0.1;0.1;0.1
stand;1;1636026684011;56.4;38.9;-0.9;0.1;0.1;0.1
stand;1;1636026684016;56.4;38.9;-0.9;0.1;0.1;0.1
stand;1;1636026684020;56.4;38.9;-0.9;0.1;0.1;0.1
stand;1;1636026684039;56.3;38.9;-1.1;0;0.1;0.2
stand;1;1636026684053;56.3;38.9;-1.2;-0.1;-0.1;0.2
stand;1;1636026684071;56.2;38.9;-1.3;-0.2;-0.1;0
stand;1;1636026684082;56.2;38.9;-1.3;-0.4;-0.1;0
stand;1;1636026684086;56.2;38.9;-1.3;-0.4;-0.1;0
stand;1;1636026684100;56.1;38.9;-1.2;-0.3;-0.1;-0.1
stand;1;1636026684105;56.1;38.9;-1.2;-0.3;-0.1;-0.1
stand;1;1636026684109;56.1;38.9;-1.2;-0.3;-0.1;-0.1
stand;1;1636026684114;56.1;38.9;-1.2;-0.3;-0.1;-0.1
stand;1;1636026684118;56.1;38.9;-1.2;-0.3;-0.1;-0.1
stand;1;1636026684142;55.9;38.8;-1;0.1;0;0.3
stand;1;1636026684160;55.8;38.8;-0.9;0.1;0.1;0.2
stand;1;1636026684180;55.7;38.8;-0.9;0.2;0.2;0.1
stand;1;1636026684191;55.6;38.8;-0.9;0.1;0.2;0.1
stand;1;1636026684204;55.5;38.9;-1;0.1;0.1;0.1
stand;1;1636026684216;55.5;38.9;-1;0.1;0;0
stand;1;1636026684220;55.5;38.9;-1;0.1;0;0
stand;1;1636026684225;55.5;38.9;-1;0.1;0;0
stand;1;1636026684229;55.5;38.9;-1;0.1;0;0
stand;1;1636026684234;55.5;38.9;-1;0.1;0;0
stand;1;1636026684255;55.4;38.8;-1.2;0;0;0
stand;1;1636026684273;55.4;38.8;-1.4;0;-0.1;-0.2
stand;1;1636026684283;55.4;38.8;-1.4;-0.1;-0.1;-0.2
stand;1;1636026684287;55.4;38.8;-1.4;-0.1;-0.1;-0.2
stand;1;1636026684292;55.4;38.8;-1.4;-0.1;-0.1;-0.2
stand;1;1636026684296;55.4;38.8;-1.4;-0.1;-0.1;-0.2
stand;1;1636026684301;55.4;38.8;-1.4;-0.1;-0.1;-0.2
stand;1;1636026684321;55.3;38.8;-1.6;-0.1;-0.1;-0.1
stand;1;1636026684333;55.3;38.8;-1.7;0;-0.1;-0.1
stand;1;1636026684337;55.3;38.8;-1.7;0;-0.1;-0.1
stand;1;1636026684342;55.3;38.8;-1.7;0;-0.1;-0.1
stand;1;1636026684346;55.3;38.8;-1.7;0;-0.1;-0.1
stand;1;1636026684351;55.3;38.8;-1.7;0;-0.1;-0.1
stand;1;1636026684371;55.2;38.8;-1.8;0;-0.1;0
stand;1;1636026684376;55.2;38.8;-1.8;0;-0.1;0
stand;1;1636026684380;55.2;38.8;-1.8;0;-0.1;0
stand;1;1636026684384;55.2;38.8;-1.8;0;-0.1;0
stand;1;1636026684405;55.1;38.9;-1.8;0;-0.1;-0.1
stand;1;1636026684418;55.1;38.9;-1.8;0;0;-0.1
stand;1;1636026684436;55;39;-1.9;0.1;0.1;0.1
stand;1;1636026684453;55;39.1;-1.9;0.1;0.1;0.2
stand;1;1636026684462;55;39.1;-1.9;0;0.1;0.2
stand;1;1636026684468;55;39.1;-1.9;0;0.1;0.2
stand;1;1636026684485;54.9;39.2;-2.1;-0.1;-0.1;0.2
stand;1;1636026684502;54.9;39.3;-2.1;-0.2;-0.1;0.3
stand;1;1636026684521;54.8;39.3;-2.2;-0.2;-0.1;0.3
stand;1;1636026684525;54.8;39.3;-2.2;-0.2;-0.1;0.3
stand;1;1636026684529;54.8;39.3;-2.2;-0.2;-0.1;0.3
stand;1;1636026684535;54.8;39.3;-2.2;-0.2;-0.1;0.3
stand;1;1636026684553;54.6;39.2;-2.3;-0.2;0;0
stand;1;1636026684572;54.4;39.2;-2.4;-0.1;0.1;-0.1
stand;1;1636026684577;54.4;39.2;-2.4;-0.1;0.1;-0.1
stand;1;1636026684581;54.4;39.2;-2.4;-0.1;0.1;-0.1
stand;1;1636026684586;54.4;39.2;-2.4;-0.1;0.1;-0.1
stand;1;1636026684590;54.4;39.2;-2.4;-0.1;0.1;-0.1
stand;1;1636026684595;54.4;39.2;-2.4;-0.1;0.1;-0.1
stand;1;1636026684599;54.4;39.2;-2.4;-0.1;0.1;-0.1
stand;1;1636026684604;54.4;39.2;-2.4;-0.1;0.1;-0.1
stand;1;1636026684617;54.1;39.2;-2.4;-0.1;0.1;-0.2
stand;1;1636026684630;54;39.3;-2.3;-0.1;0.1;-0.2
stand;1;1636026684635;54;39.3;-2.3;-0.1;0.1;-0.2
stand;1;1636026684647;54;39.3;-2.3;0;0.1;-0.1
stand;1;1636026684652;54;39.3;-2.3;0;0.1;-0.1
stand;1;1636026684668;53.8;39.4;-2.2;0;0.1;0
stand;1;1636026684680;53.7;39.5;-2.1;0;0.1;0
stand;1;1636026684685;53.7;39.5;-2.1;0;0.1;0
stand;1;1636026684700;53.6;39.6;-2.1;0;0.1;0.1
stand;1;1636026684704;53.6;39.6;-2.1;0;0.1;0.1
stand;1;1636026684709;53.6;39.6;-2.1;0;0.1;0.1
stand;1;1636026684713;53.6;39.6;-2.1;0;0.1;0.1
stand;1;1636026684718;53.6;39.6;-2.1;0;0.1;0.1
stand;1;1636026684744;53.4;39.7;-2;-0.1;0.2;-0.3
stand;1;1636026684762;53.4;39.8;-1.8;-0.2;0.2;-0.2
stand;1;1636026684785;53.3;39.9;-1.5;0.1;-0.1;0.7
stand;1;1636026684798;53.3;39.9;-1.5;0.1;-0.1;0.4
stand;1;1636026684803;53.3;39.9;-1.5;0.1;-0.1;0.4
stand;1;1636026684819;53.2;39.9;-1.4;0;-0.3;0.6
stand;1;1636026684836;53;39.9;-1.3;-0.1;-0.3;0.2
stand;1;1636026684853;52.9;39.8;-1.3;-0.1;-0.3;0.4
stand;1;1636026684873;52.7;39.6;-1.3;-0.1;-0.1;0.2
stand;1;1636026684891;52.5;39.5;-1.3;-0.1;0.1;0.1
stand;1;1636026684909;52.3;39.4;-1.4;0;0.1;-0.2
stand;1;1636026684921;52.2;39.3;-1.4;0;0.1;-0.2
stand;1;1636026684925;52.2;39.3;-1.4;0;0.1;-0.2
stand;1;1636026684930;52.2;39.3;-1.4;0;0.1;-0.2
stand;1;1636026684935;52.2;39.3;-1.4;0;0.1;-0.2
stand;1;1636026684953;52;39.2;-1.5;-0.1;0;-0.2
stand;1;1636026684976;51.8;39.1;-1.7;-0.2;-0.1;0
stand;1;1636026684987;51.8;39.1;-1.7;-0.2;-0.1;0.1
stand;1;1636026685000;51.7;39.1;-1.7;-0.3;-0.2;0.2
stand;1;1636026685005;51.7;39.1;-1.7;-0.3;-0.2;0.2
stand;1;1636026685009;51.7;39.1;-1.7;-0.3;-0.2;0.2
stand;1;1636026685014;51.7;39.1;-1.7;-0.3;-0.2;0.2
stand;1;1636026685018;51.7;39.1;-1.7;-0.3;-0.2;0.2
stand;1;1636026685042;51.3;38.9;-1.8;-0.3;-0.4;0.1
stand;1;1636026685061;51;38.8;-1.8;-0.2;-0.3;0
stand;1;1636026685084;50.7;38.7;-1.7;-0.1;-0.1;-0.1
stand;1;1636026685104;50.1;38.6;-1.6;0.2;0.4;-0.1
stand;1;1636026685121;49.8;38.6;-1.5;0.2;0.4;0
stand;1;1636026685140;49.6;38.7;-1.5;0.1;0.2;0.1
stand;1;1636026685159;49.3;38.7;-1.5;-0.1;-0.1;0.1
stand;1;1636026685176;49;38.7;-1.4;-0.2;-0.2;0.1
stand;1;1636026685187;48.8;38.8;-1.4;-0.2;-0.2;0.1
stand;1;1636026685192;48.8;38.8;-1.4;-0.2;-0.2;0.1
stand;1;1636026685196;48.8;38.8;-1.4;-0.2;-0.2;0.1
stand;1;1636026685201;48.8;38.8;-1.4;-0.2;-0.2;0.1
stand;1;1636026685226;48.2;38.7;-1.2;-0.1;0.1;0.2
stand;1;1636026685245;47.9;38.7;-1;0.1;-0.1;0.4
stand;1;1636026685268;47.4;38.5;-0.9;0.5;0.1;0.2
stand;1;1636026685285;47.3;38.4;-0.9;0.4;0.2;-0.1
stand;1;1636026685303;47.1;38.4;-1;0.2;0.1;-0.1
stand;1;1636026685321;47;38.3;-1;0;0.1;0.2
stand;1;1636026685339;46.8;38.2;-1;-0.1;0.1;0.3
stand;1;1636026685358;46.7;38;-1;-0.2;0.1;0.3
stand;1;1636026685376;46.6;37.9;-1;-0.4;0.1;0.2
stand;1;1636026685416;46.2;37.5;-1;-0.4;0;-0.1
stand;1;1636026685437;45.9;37.3;-0.7;0;0.2;-0.7
stand;1;1636026685456;45.8;37.3;-0.5;0.3;0.2;-0.5
stand;1;1636026685476;45.7;37.3;-0.3;0.6;0.1;-0.3
stand;1;1636026685493;45.7;37.3;-0.2;0.4;-0.3;0.4
stand;1;1636026685511;45.7;37.3;-0.1;0;-0.7;0.7
stand;1;1636026685534;45.6;37.2;0;-0.1;-0.5;0.9
stand;1;1636026685556;45.2;36.8;0;-0.1;0.4;0
stand;1;1636026685576;45;36.7;0.1;0.2;0.7;-0.5
stand;1;1636026685594;44.9;36.6;0.1;0.3;0.7;-0.7
stand;1;1636026685608;44.9;36.6;0.1;0.1;0.4;-0.4
stand;1;1636026685627;44.7;36.7;0.2;-0.1;0.1;-0.3
stand;1;1636026685646;44.5;36.8;0.4;-0.3;0.1;0
stand;1;1636026685662;44.2;37;0.6;-0.2;0.3;-0.1
stand;1;1636026685673;44.2;37;0.6;0;0.3;-0.4
stand;1;1636026685688;44;37.1;0.8;0;0.2;-0.3
stand;1;1636026685709;43.8;37.3;0.9;-0.2;0.1;0
stand;1;1636026685728;43.4;37.5;1.3;-0.2;0.5;0.3
stand;1;1636026685740;43.4;37.5;1.3;-0.5;-0.1;-0.3
stand;1;1636026685755;43.1;37.7;1.5;-0.4;-0.4;-0.5
stand;1;1636026685776;42.9;37.8;1.7;-0.2;0.1;-0.3
stand;1;1636026685796;42.5;38;2.3;-0.2;0.7;0.3
