activity;sampleId;stamp;alpha;beta;gamma;x;y;z
stand;Id4;1636026684513;331.1;39;-7.1;-0.1;0;0.3
stand;Id4;1636026684551;330.8;39;-7.2;0;0.1;0.1
stand;Id4;1636026684581;330.7;39;-7.5;0;0;0.2
stand;Id4;1636026684614;330.7;38.9;-7.7;0.1;0;0.1
stand;Id4;1636026684652;330.6;39;-7.9;0;0.1;-0.1
stand;Id4;1636026684677;330.5;39;-8;0;0.1;-0.1
stand;Id4;1636026684694;330.5;39;-8;0;0;0
stand;Id4;1636026684720;330.4;39.1;-8.1;0;0;0.1
stand;Id4;1636026684755;330.3;39.2;-8.2;-0.1;0;0.1
stand;Id4;1636026684789;330.2;39.3;-8.2;0.1;-0.1;0
stand;Id4;1636026684819;330.1;39.4;-8.4;0.1;0;-0.2
stand;Id4;1636026684836;330;39.4;-8.5;0.1;0;-0.2
stand;Id4;1636026684844;330;39.4;-8.5;0.2;0;-0.2
stand;Id4;1636026684857;330;39.4;-8.5;0.1;-0.1;-0.1
stand;Id4;1636026684861;330;39.4;-8.5;0.1;-0.1;-0.1
stand;Id4;1636026684866;330;39.4;-8.5;0.1;-0.1;-0.1
stand;Id4;1636026684870;330;39.4;-8.5;0.1;-0.1;-0.1
stand;Id4;1636026684887;329.7;39.3;-8.7;0.1;-0.1;-0.1
stand;Id4;1636026684910;329.5;39.4;-8.7;0.1;-0.1;-0.1
stand;Id4;1636026684925;329.5;39.4;-8.7;0.1;-0.1;-0.2
stand;Id4;1636026684930;329.5;39.4;-8.7;0.1;-0.1;-0.2
stand;Id4;1636026684934;329.5;39.4;-8.7;0.1;-0.1;-0.2
stand;Id4;1636026684938;329.5;39.4;-8.7;0.1;-0.1;-0.2
stand;Id4;1636026684962;329.2;39.5;-8.6;0;0;-0.1
stand;Id4;1636026684982;329.1;39.6;-8.5;0;0;0
stand;Id4;1636026685001;329;39.7;-8.4;0;0;0
stand;Id4;1636026685011;329;39.7;-8.4;0;-0.1;0
stand;Id4;1636026685015;329;39.7;-8.4;0;-0.1;0
stand;Id4;1636026685020;329;39.7;-8.4;0;-0.1;0
stand;Id4;1636026685032;328.8;39.9;-8.2;0;-0.1;0
stand;Id4;1636026685051;328.8;39.9;-8.2;0.1;0.3;-1.9
stand;Id4;1636026685075;328.7;40;-8;0;-0.1;-0.6
stand;Id4;1636026685096;328.7;40.1;-7.8;-0.1;0;0.6
stand;Id4;1636026685118;328.6;40.1;-7.7;0;-0.1;0.2
stand;Id4;1636026685130;328.5;40.1;-7.6;0;-0.1;0.2
stand;Id4;1636026685153;328.4;40;-7.6;0;-0.2;0.4
stand;Id4;1636026685180;328;39.8;-7.5;0.1;0.1;0.2
stand;Id4;1636026685209;327.8;39.7;-7.6;0;0.1;0.3
stand;Id4;1636026685229;327.7;39.6;-7.6;0;0.1;0.4
stand;Id4;1636026685247;327.4;39.4;-7.7;0;0.1;0.2
stand;Id4;1636026685269;327.3;39.4;-7.8;0.1;0.1;0
stand;Id4;1636026685275;327.3;39.4;-7.8;0.1;0.1;0
stand;Id4;1636026685290;327.1;39.3;-7.9;0.2;0;0
stand;Id4;1636026685318;327;39.2;-8;0.3;-0.2;-0.1
stand;Id4;1636026685336;326.8;39.1;-8.1;0.3;-0.2;-0.1
stand;Id4;1636026685366;326.4;38.9;-8;0.2;-0.3;-0.1
stand;Id4;1636026685382;326.4;38.9;-8;0.1;-0.2;0
stand;Id4;1636026685408;325.7;38.8;-7.9;-0.2;0;0.1
stand;Id4;1636026685420;325.4;38.8;-7.8;-0.2;0;0.1
stand;Id4;1636026685438;324.9;38.8;-7.7;-0.1;0;-0.1
stand;Id4;1636026685463;324.6;38.9;-7.7;0;-0.1;-0.2
stand;Id4;1636026685488;324.4;38.9;-7.7;0.2;-0.1;-0.3
stand;Id4;1636026685511;324.1;38.9;-7.6;0.1;0;-0.3
stand;Id4;1636026685531;323.5;38.9;-7.4;0;0.1;-0.4
stand;Id4;1636026685556;323.2;38.9;-7.2;-0.6;0.3;0.2
stand;Id4;1636026685584;322.7;38.7;-7.1;-0.4;0.4;0.1
stand;Id4;1636026685604;322.4;38.6;-7.2;-0.4;0.4;0.1
stand;Id4;1636026685632;322.2;38.5;-7.2;0.1;-0.1;-0.2
stand;Id4;1636026685651;322.1;38.4;-7.2;0.1;-0.1;-0.2
stand;Id4;1636026685689;322;38.2;-7.3;0.2;-0.2;-0.2
stand;Id4;1636026685725;321.3;37.6;-7.1;0.2;0.1;-0.3
stand;Id4;1636026685753;321.1;37.5;-6.9;0;0.2;-0.3
stand;Id4;1636026685776;321;37.5;-6.5;-0.5;0.6;0.2
stand;Id4;1636026685794;321;37.5;-6.5;-0.5;0.3;0.5
stand;Id4;1636026685816;321;37.5;-6.3;-0.1;-0.2;0.2
stand;Id4;1636026685838;320.8;37.3;-6.2;0;-0.4;0.2
stand;Id4;1636026685864;320.5;37;-6.2;-0.1;-0.4;0
stand;Id4;1636026685890;320.3;36.9;-6.2;-0.3;-0.2;0.2
stand;Id4;1636026685909;320.1;36.9;-6.1;-0.1;-0.5;0.2
stand;Id4;1636026685939;319.9;37;-6;0.1;-0.7;0.1
stand;Id4;1636026685964;319.6;37.1;-5.8;0.1;-0.2;0
stand;Id4;1636026685995;319.4;37.2;-5.7;0;-0.4;0.1
stand;Id4;1636026686023;319.1;37.5;-5.4;0.1;-0.4;-0.3
stand;Id4;1636026686055;318.7;37.8;-5;0.4;0;-0.3
stand;Id4;1636026686084;318.2;38.1;-4.5;0.2;-0.1;-0.9
stand;Id4;1636026686104;317.8;38.2;-4;0.2;-0.1;-0.9
stand;Id4;1636026686134;317.5;38.3;-3.6;0;-0.1;0.4
stand;Id4;1636026686154;317.1;38.2;-3.3;0;-0.1;0.4
stand;Id4;1636026686185;316.3;38.4;-2.7;0.2;0.1;0.4
stand;Id4;1636026686201;316.3;38.4;-2.7;-0.2;-0.1;-0.1
stand;Id4;1636026686223;316.1;38.4;-2.5;-0.9;0;-0.4
stand;Id4;1636026686255;316;38.3;-2.3;0;0.5;-0.5
stand;Id4;1636026686283;315.9;38.1;-1.8;0.4;0.9;-1.3
stand;Id4;1636026686303;315.4;37.3;-1.1;0.4;0.9;-1.3
stand;Id4;1636026686329;315.1;36.5;-1;-0.1;0.6;-0.2
stand;Id4;1636026686359;314.9;35.8;-0.8;-0.4;0.3;1
stand;Id4;1636026686387;314.6;35.1;-0.2;0.5;0.2;1.4
stand;Id4;1636026686421;313.7;34.2;0.8;0.1;0;1.1
stand;Id4;1636026686447;313.6;34.2;0.8;0.3;0.3;1.8
stand;Id4;1636026686476;313.5;34.5;0.8;0.2;0;1
stand;Id4;1636026686509;313.3;35.3;0.9;0.6;0.2;0.6
stand;Id4;1636026686536;313.2;35.7;1;0.2;0.5;-1
stand;Id4;1636026686559;312.7;36.8;1.3;-0.2;0.3;-2.1
stand;Id4;1636026686584;312.5;37.2;1.5;-0.9;-0.3;-1.8
stand;Id4;1636026686599;312.3;36.9;1.1;-0.9;-0.3;-1.8
stand;Id4;1636026686620;312.3;36.5;0.7;-0.8;-0.3;-1.4
stand;Id4;1636026686642;312.5;35.9;-0.1;-0.8;-0.3;-0.3
stand;Id4;1636026686666;312.5;35.7;-0.7;-1;-0.3;0.4
stand;Id4;1636026686682;312.5;35.6;-1;-1;-0.2;0.7
stand;Id4;1636026686696;312.6;35.7;-1.4;-1;-0.2;0.7
stand;Id4;1636026686720;312.7;35.7;-1.6;-0.5;0.2;-0.5
stand;Id4;1636026686744;312.9;35.3;-1.6;0.5;0.8;0.6
stand;Id4;1636026686773;313;35.1;-1.5;0.4;-0.1;0.4
stand;Id4;1636026686787;313;35.1;-1.5;0.5;0;1.3
stand;Id4;1636026686809;313;35.3;-1.3;0.6;0.2;1.2
stand;Id4;1636026686834;313.1;36;-1.3;0.5;0.2;0.9
stand;Id4;1636026686853;313;36.6;-1.4;0.2;0.5;-0.1
stand;Id4;1636026686882;312.9;37.4;-1.5;-0.1;0.7;-0.9
stand;Id4;1636026686909;312.8;37.5;-1.6;0.2;0.7;-1.1
stand;Id4;1636026686932;312.5;37;-1.8;0.3;-0.5;0.8
stand;Id4;1636026686959;312.4;36.8;-1.8;0.4;-0.7;1.8
stand;Id4;1636026686981;312.2;36.9;-1.8;0.4;-0.6;1.4
stand;Id4;1636026686998;311.6;37.6;-1.8;0.4;-0.6;0.4
stand;Id4;1636026687019;311.2;38;-1.8;0.2;-0.3;-1.2
stand;Id4;1636026687045;310.9;38;-1.8;-0.1;0.9;-1.4
stand;Id4;1636026687076;310.4;37.4;-2;0;0.1;-0.7
stand;Id4;1636026687109;310.2;36.9;-2.1;0.1;-0.2;0.3
stand;Id4;1636026687137;309.7;36.5;-2.7;0.2;-0.6;-0.4
stand;Id4;1636026687167;309.3;36.2;-3.2;-0.1;0.1;-0.8
stand;Id4;1636026687185;308.9;35.6;-3.6;-0.1;0.1;-0.8
stand;Id4;1636026687197;308.9;35.6;-3.6;-0.1;-0.1;-0.4
stand;Id4;1636026687221;308.8;35.2;-3.7;-0.1;-0.4;0
stand;Id4;1636026687254;308.1;34.2;-4.1;0.2;-0.9;-0.2
stand;Id4;1636026687282;307.8;33.9;-4.1;0.2;-0.9;-0.5
stand;Id4;1636026687299;307.5;33.7;-4.1;0.2;-0.9;-0.5
stand;Id4;1636026687320;307.3;33.5;-4.1;0;-0.4;-0.8
stand;Id4;1636026687351;306.7;32.9;-3.9;-0.3;0.2;-0.1
stand;Id4;1636026687370;306.4;32.1;-3.8;-0.3;0.2;-0.1
stand;Id4;1636026687400;306.2;31.5;-3.7;-0.1;-0.1;-0.5
stand;Id4;1636026687417;306;30.9;-3.6;-0.1;-0.1;-0.5
stand;Id4;1636026687432;306;30.9;-3.6;-0.3;-0.4;0.5
stand;Id4;1636026687456;305.8;30.1;-3.3;-0.5;-0.4;1.4
stand;Id4;1636026687487;305.5;29.7;-3.2;-0.4;-0.2;0.6
stand;Id4;1636026687517;305.1;29.5;-3;-0.3;0;0.2
stand;Id4;1636026687536;304.8;29.3;-2.8;-0.3;0;0.2
stand;Id4;1636026687562;304.5;29.1;-2.6;-0.4;0.1;0.4
stand;Id4;1636026687593;304.4;29;-2.5;-0.2;0;0.6
stand;Id4;1636026687616;304.1;29;-2.4;-0.3;0.1;0.6
stand;Id4;1636026687637;303.7;29.1;-2.2;-0.3;0.1;0.2
stand;Id4;1636026687660;303.4;29.4;-1.9;-0.3;0.3;0.2
stand;Id4;1636026687687;303.2;29.5;-1.8;-0.2;0.3;0.1
stand;Id4;1636026687716;303;29.7;-1.7;-0.2;0.4;0.4
stand;Id4;1636026687733;303;29.7;-1.7;-0.2;0.3;0.1
