activity;sampleId;stamp;alpha;beta;gamma;x;y;z
walk;3;1636027612786;267;57.4;20.3;0;-0.1;0.5
walk;3;1636027612823;267.2;57.3;19.5;0;-0.2;0.2
walk;3;1636027612848;267.2;57.2;19.3;0.1;0;0
walk;3;1636027612867;267.2;57.1;19.2;0.1;0.1;0
walk;3;1636027612893;267.1;57.1;19.1;0.2;0;-0.1
walk;3;1636027612923;267.1;57;19;0.1;0.1;-0.4
walk;3;1636027612930;267.1;57;19;0.1;0.1;-0.4
walk;3;1636027612935;267.1;57;19;0.1;0.1;-0.4
walk;3;1636027612952;267.1;57.1;18.9;0.1;0.1;-0.4
walk;3;1636027612975;267.1;57.2;18.7;0;-0.1;-0.3
walk;3;1636027612997;267.1;57.3;18.5;-0.1;-0.1;-0.1
walk;3;1636027613002;267.1;57.3;18.5;-0.1;-0.1;-0.1
walk;3;1636027613006;267.1;57.3;18.5;-0.1;-0.1;-0.1
walk;3;1636027613013;267.1;57.3;18.5;-0.1;-0.1;-0.1
walk;3;1636027613018;267.1;57.3;18.5;-0.1;-0.1;-0.1
walk;3;1636027613035;267.2;57.4;18.1;-0.1;-0.1;-0.1
walk;3;1636027613057;267.3;57.5;17.7;-0.1;0;-0.3
walk;3;1636027613076;267.3;57.5;17.7;-0.2;0;-0.1
walk;3;1636027613095;267.3;57.7;17.2;-0.1;0;-0.1
walk;3;1636027613113;267.3;57.7;17;-0.1;-0.1;0
walk;3;1636027613127;267.3;57.7;17;0.3;0;2.8
walk;3;1636027613147;267.3;57.8;16.8;-0.2;0.1;1.3
walk;3;1636027613166;267.4;57.8;16.8;-0.4;0.2;0.5
walk;3;1636027613180;267.5;57.7;16.8;-0.2;0.3;0
walk;3;1636027613192;267.5;57.7;16.8;-0.2;0.2;-0.4
walk;3;1636027613196;267.5;57.7;16.8;-0.2;0.2;-0.4
walk;3;1636027613200;267.5;57.7;16.8;-0.2;0.2;-0.4
walk;3;1636027613216;267.4;57.6;16.8;-0.2;0.2;-0.4
walk;3;1636027613231;267.3;57.6;16.7;0;0.1;-0.1
walk;3;1636027613243;267.3;57.6;16.7;0;0.1;0.3
walk;3;1636027613261;267.3;57.5;16.6;0;0.2;-0.1
walk;3;1636027613279;267.3;57.5;16.5;-0.1;0.2;0
walk;3;1636027613298;267.4;57.5;16.4;-0.1;0;0.2
walk;3;1636027613318;267.4;57.4;16.1;-0.2;-0.1;0.2
walk;3;1636027613330;267.5;57.4;16;-0.2;-0.1;0.1
walk;3;1636027613341;267.5;57.4;16;-0.3;-0.1;0.1
walk;3;1636027613360;267.5;57.3;15.8;-0.3;-0.2;0.2
