activity;sampleId;stamp;alpha;beta;gamma;x;y;z
walk;1;1636027610293;287.5;60.1;8.2;0.3;-0.3;-0.1
walk;1;1636027610319;287.2;60.3;8;0.1;-0.3;-0.4
walk;1;1636027610343;286.6;60.6;8.1;0.1;-0.1;-0.3
walk;1;1636027610367;286.4;60.8;8.2;0.1;-0.1;0
walk;1;1636027610388;286.1;61;8.2;0;0.1;0
walk;1;1636027610395;286.1;61;8.2;0;0.1;0
walk;1;1636027610401;286.1;61;8.2;0;0.1;0
walk;1;1636027610409;286;61.2;8.2;0;0.1;0
walk;1;1636027610423;286;61.2;8.2;-0.1;0;0
walk;1;1636027610447;285.9;61.3;8.2;-0.2;0;0.4
walk;1;1636027610468;285.7;61.4;8.1;-0.2;0;0.6
walk;1;1636027610478;285.7;61.4;8.1;-0.1;0;0.4
walk;1;1636027610484;285.7;61.4;8.1;-0.1;0;0.4
walk;1;1636027610492;285.5;61.5;8;-0.1;0;0.4
walk;1;1636027610507;285.5;61.5;8;-0.1;0.1;0.3
walk;1;1636027610521;285.4;61.5;7.8;-0.1;0.1;0.3
walk;1;1636027610536;285.3;61.4;7.6;0;0.2;0.3
walk;1;1636027610550;285.2;61.4;7.5;0;0.2;0.3
walk;1;1636027610579;285.2;61.3;7.2;0;0.3;-0.2
walk;1;1636027610599;285.2;61.4;6.8;-0.1;0;0
walk;1;1636027610611;285.1;61.4;6.7;-0.1;0;0
walk;1;1636027610620;285.1;61.4;6.7;-0.1;-0.1;0
walk;1;1636027610626;285.1;61.4;6.5;-0.1;-0.1;0
walk;1;1636027610633;285.1;61.4;6.5;-0.1;-0.1;0
walk;1;1636027610641;285;61.4;6.5;-0.1;-0.1;0
walk;1;1636027610654;285;61.4;6.5;-0.1;0;-0.2
walk;1;1636027610666;285;61.4;6.5;-0.1;0;-0.1
walk;1;1636027610676;284.9;61.6;6.3;-0.1;0;-0.1
walk;1;1636027610689;284.9;61.6;6.3;-0.2;-0.2;0.1
walk;1;1636027610701;284.8;61.6;6.3;-0.2;-0.1;0.1
walk;1;1636027610711;284.7;61.7;6.3;-0.2;-0.1;0.1
walk;1;1636027610724;284.7;61.7;6.3;-0.1;0;-0.1
walk;1;1636027610734;284.7;61.7;6.3;-0.1;0.1;-0.1
walk;1;1636027610744;284.5;61.9;6.5;-0.1;0.1;-0.1
walk;1;1636027610755;284.5;61.9;6.5;-0.1;0;0.7
walk;1;1636027610774;284.3;62;6.6;0;0;0.4
walk;1;1636027610793;284.3;61.6;6.4;0.1;0.3;-0.7
walk;1;1636027610812;284.2;61.5;6.3;0.1;0.2;0
walk;1;1636027610831;284.2;61.4;6.1;0;0.1;-0.4
walk;1;1636027610852;284.2;61.3;6;-0.1;-0.1;0.1
walk;1;1636027610856;284.2;61.3;6;-0.1;-0.1;0.1
walk;1;1636027610868;284.2;61.3;6;-0.2;-0.2;0
walk;1;1636027610874;284.2;61.2;6;-0.2;-0.2;0
walk;1;1636027610883;284.2;61.2;6;-0.1;-0.2;0
walk;1;1636027610890;284.2;61.1;6;-0.1;-0.2;0
walk;1;1636027610902;284.2;61.1;6;-0.2;-0.1;-0.3
walk;1;1636027610909;284.2;61.1;6.1;-0.2;-0.1;-0.3
walk;1;1636027610920;284.2;61.1;6.1;-0.3;-0.2;-0.3
walk;1;1636027610935;284.2;61.1;6.1;-0.3;-0.3;-0.2
walk;1;1636027610942;284;61.1;6.3;-0.3;-0.3;-0.2
walk;1;1636027610954;284;61.1;6.3;-0.2;-0.2;0
walk;1;1636027610974;283.9;61;6.5;0;0.2;-0.1
walk;1;1636027610991;283.8;61;6.6;0;0.1;0
walk;1;1636027611002;283.8;60.9;6.8;0;0.1;0
walk;1;1636027611009;283.7;60.9;6.9;0;0.1;0
walk;1;1636027611021;283.7;60.9;6.9;-0.1;0.1;0.1
walk;1;1636027611032;283.7;60.9;6.9;0;0.1;0.1
walk;1;1636027611042;283.6;60.8;7.2;0;0.1;0.1
walk;1;1636027611052;283.6;60.8;7.2;0;0.1;0
walk;1;1636027611059;283.5;60.8;7.3;0;0.1;0
walk;1;1636027611068;283.5;60.8;7.3;0;0.2;0
walk;1;1636027611073;283.5;60.8;7.3;0;0.2;0
walk;1;1636027611085;283.5;60.8;7.3;0;0.1;0.1
walk;1;1636027611089;283.5;60.8;7.3;0;0.1;0.1
walk;1;1636027611101;283.5;60.8;7.3;-0.1;0;0.1
walk;1;1636027611110;283.3;60.7;7.5;-0.1;0;0.1
walk;1;1636027611120;283.3;60.7;7.5;-0.1;-0.1;0.2
walk;1;1636027611134;283.3;60.7;7.6;-0.1;-0.1;0.1
