activity;sampleId;stamp;alpha;beta;gamma;x;y;z
table;2;1636021884954;270;0.6;-0.2;0;0;0
table;2;1636021884956;270;0.6;-0.2;0;0;0
table;2;1636021884959;270;0.6;-0.2;0;0;0
table;2;1636021884961;270;0.6;-0.2;0;0;0
table;2;1636021884966;270;0.6;-0.2;0;0;0
table;2;1636021884970;270;0.6;-0.2;0;0;0
table;2;1636021884974;270;0.6;-0.2;0;0;0
table;2;1636021884979;270;0.6;-0.2;0;0;0
table;2;1636021884986;270;0.6;-0.2;0;0;0
table;2;1636021884990;270;0.6;-0.2;0;0;0
table;2;1636021884995;270;0.6;-0.2;0;0;0
table;2;1636021885001;270;0.6;-0.2;0;0;0
table;2;1636021885006;270;0.6;-0.2;0;0;0
table;2;1636021885011;270;0.6;-0.2;0;0;0
table;2;1636021885018;270;0.6;-0.2;0;0;0
table;2;1636021885023;270;0.6;-0.2;0;0;0
table;2;1636021885027;270;0.6;-0.2;0;0;0
table;2;1636021885035;270;0.6;-0.2;0;0;0
table;2;1636021885040;270;0.6;-0.2;0;0;0
table;2;1636021885044;270;0.6;-0.2;0;0;0
table;2;1636021885052;270;0.6;-0.2;0;0;0
table;2;1636021885056;270;0.6;-0.2;0;0;0
table;2;1636021885061;270;0.6;-0.2;0;0;0
table;2;1636021885068;270;0.6;-0.2;0;0;0
table;2;1636021885072;270;0.6;-0.2;0;0;0
table;2;1636021885077;270;0.6;-0.2;0;0;0
table;2;1636021885085;270;0.6;-0.2;0;0;0
table;2;1636021885090;270;0.6;-0.2;0;0;0
table;2;1636021885094;270;0.6;-0.2;0;0;0
table;2;1636021885102;270;0.6;-0.2;0;0;0
table;2;1636021885107;270;0.6;-0.2;0;0;0
table;2;1636021885111;270;0.6;-0.2;0;0;0
table;2;1636021885118;270;0.6;-0.2;0;0;0
table;2;1636021885123;270;0.6;-0.2;0;0;0
table;2;1636021885127;270;0.6;-0.2;0;0;0
table;2;1636021885135;270;0.6;-0.2;0;0;0
table;2;1636021885140;270;0.6;-0.2;0;0;0
table;2;1636021885144;270;0.6;-0.2;0;0;0
table;2;1636021885155;270;0.6;-0.2;0;0;0
table;2;1636021885160;270;0.6;-0.2;0;0;0
table;2;1636021885170;270;0.6;-0.2;0;0;0
table;2;1636021885174;270;0.6;-0.2;0;0;0
table;2;1636021885178;270;0.6;-0.2;0;0;0
table;2;1636021885185;270;0.6;-0.2;0;0;0
table;2;1636021885190;270;0.6;-0.2;0;0;0
table;2;1636021885194;270;0.6;-0.2;0;0;0
table;2;1636021885201;270;0.6;-0.2;0;0;0
table;2;1636021885206;270;0.6;-0.2;0;0;0
table;2;1636021885211;270;0.6;-0.2;0;0;0
table;2;1636021885217;270;0.6;-0.2;0;0;0
table;2;1636021885222;270;0.6;-0.2;0;0;0
table;2;1636021885226;270;0.6;-0.2;0;0;0
table;2;1636021885235;270;0.6;-0.2;0;0;0
table;2;1636021885240;270;0.6;-0.2;0;0;0
table;2;1636021885244;270;0.6;-0.2;0;0;0
table;2;1636021885250;270;0.6;-0.2;0;0;0
table;2;1636021885254;270;0.6;-0.2;0;0;0
table;2;1636021885259;270;0.6;-0.2;0;0;0
table;2;1636021885264;270;0.6;-0.2;0;0;0
table;2;1636021885269;270;0.6;-0.2;0;0;0
table;2;1636021885274;270;0.6;-0.2;0;0;0
table;2;1636021885278;270;0.6;-0.2;0;0;0
table;2;1636021885283;270;0.6;-0.2;0;0;0
table;2;1636021885287;270;0.6;-0.2;0;0;0
table;2;1636021885292;270;0.6;-0.2;0;0;0
table;2;1636021885296;270;0.6;-0.2;0;0;0
table;2;1636021885301;270;0.6;-0.2;0;0;0
table;2;1636021885305;270;0.6;-0.2;0;0;0
table;2;1636021885310;270;0.6;-0.2;0;0;0
table;2;1636021885315;270;0.6;-0.2;0;0;0
table;2;1636021885320;270;0.6;-0.2;0;0;0
table;2;1636021885325;270;0.6;-0.2;0;0;0
table;2;1636021885330;270;0.6;-0.2;0;0;0
table;2;1636021885334;270;0.6;-0.2;0;0;0
table;2;1636021885339;270;0.6;-0.2;0;0;0
table;2;1636021885344;270;0.6;-0.2;0;0;0
table;2;1636021885349;270;0.6;-0.2;0;0;0
table;2;1636021885353;270;0.6;-0.2;0;0;0
table;2;1636021885358;270;0.6;-0.2;0;0;0
table;2;1636021885363;270;0.6;-0.2;0;0;0
table;2;1636021885368;270;0.6;-0.2;0;0;0
table;2;1636021885373;270;0.6;-0.2;0;0;0
table;2;1636021885377;270;0.6;-0.2;0;0;0
table;2;1636021885382;270;0.6;-0.2;0;0;0
table;2;1636021885387;270;0.6;-0.2;0;0;0
table;2;1636021885391;270;0.6;-0.2;0;0;0
table;2;1636021885396;270;0.6;-0.2;0;0;0
table;2;1636021885401;270;0.6;-0.2;0;0;0
table;2;1636021885405;270;0.6;-0.2;0;0;0
table;2;1636021885410;270;0.6;-0.2;0;0;0
table;2;1636021885415;270;0.6;-0.2;0;0;0
table;2;1636021885420;270;0.6;-0.2;0;0;0
table;2;1636021885425;270;0.6;-0.2;0;0;0
table;2;1636021885429;270;0.6;-0.2;0;0;0
table;2;1636021885434;270;0.6;-0.2;0;0;0
table;2;1636021885439;270;0.6;-0.2;0;0;0
table;2;1636021885444;270;0.6;-0.2;0;0;0
table;2;1636021885450;270;0.6;-0.2;0;0;0
table;2;1636021885454;270;0.6;-0.2;0;0;0
table;2;1636021885459;270;0.6;-0.2;0;0;0
table;2;1636021885464;270;0.6;-0.2;0;0;0
table;2;1636021885468;270;0.6;-0.2;0;0;0
table;2;1636021885473;270;0.6;-0.2;0;0;0
table;2;1636021885478;270;0.6;-0.2;0;0;0
table;2;1636021885482;270;0.6;-0.2;0;0;0
table;2;1636021885487;270;0.6;-0.2;0;0;0
table;2;1636021885492;270;0.6;-0.2;0;0;0
table;2;1636021885497;270;0.6;-0.2;0;0;0
table;2;1636021885501;270;0.6;-0.2;0;0;0
table;2;1636021885506;270;0.6;-0.2;0;0;0
table;2;1636021885510;270;0.6;-0.2;0;0;0
table;2;1636021885515;270;0.6;-0.2;0;0;0
table;2;1636021885520;270;0.6;-0.2;0;0;0
table;2;1636021885524;270;0.6;-0.2;0;0;0
table;2;1636021885530;270;0.6;-0.2;0;0;0
table;2;1636021885534;270;0.6;-0.2;0;0;0
table;2;1636021885539;270;0.6;-0.2;0;0;0
table;2;1636021885543;270;0.6;-0.2;0;0;0
table;2;1636021885548;270;0.6;-0.2;0;0;0
table;2;1636021885552;270;0.6;-0.2;0;0;0
table;2;1636021885556;270;0.6;-0.2;0;0;0
table;2;1636021885561;270;0.6;-0.2;0;0;0
table;2;1636021885566;270;0.6;-0.2;0;0;0
table;2;1636021885571;270;0.6;-0.2;0;0;0
table;2;1636021885576;270;0.6;-0.2;0;0;0
table;2;1636021885580;270;0.6;-0.2;0;0;0
table;2;1636021885585;270;0.6;-0.2;0;0;0
table;2;1636021885590;270;0.6;-0.2;0;0;0
table;2;1636021885595;270;0.6;-0.2;0;0;0
table;2;1636021885600;270;0.6;-0.2;0;0;0
table;2;1636021885604;270;0.6;-0.2;0;0;0
table;2;1636021885610;270;0.6;-0.2;0;0;0
table;2;1636021885614;270;0.6;-0.2;0;0;0
