activity;sampleId;stamp;alpha;beta;gamma;x;y;z
walk;Id5;1636027613906;262.1;54.8;21.8;-0.1;0;-1.7
walk;Id5;1636027613939;261.4;54.3;22.1;0.2;-0.4;-1.1
walk;Id5;1636027613983;261.1;54.1;21.9;0;-0.4;-0.1
walk;Id5;1636027614012;261;54;21.7;-0.2;-0.4;0
walk;Id5;1636027614033;260.7;54;21.5;-0.2;-0.4;0.2
walk;Id5;1636027614055;260.5;53.9;21.3;-0.3;-0.2;-0.2
walk;Id5;1636027614072;260.5;53.9;21.3;-0.5;0.1;-0.5
walk;Id5;1636027614087;260.5;53.9;21.3;-0.6;0.3;-0.4
walk;Id5;1636027614111;259.8;54;21.2;-0.7;0.4;0.1
walk;Id5;1636027614133;259.4;54;21.2;-0.7;0.5;0.1
walk;Id5;1636027614154;258.5;54.1;21.4;-0.7;0.6;0.5
walk;Id5;1636027614178;257.9;54;21.5;-0.7;0.6;1.5
walk;Id5;1636027614207;256.9;53.7;21.6;-0.8;0.9;1.7
walk;Id5;1636027614235;256;53;21.6;-1;1.9;1.7
walk;Id5;1636027614257;255.4;52.6;21.7;-1.1;1.8;2.1
walk;Id5;1636027614271;254.9;52.3;21.9;-1.1;1.8;2.1
walk;Id5;1636027614283;254.9;52.3;21.9;-0.8;1.8;2.7
walk;Id5;1636027614306;253.6;51.2;22.5;0.3;1;1.6
walk;Id5;1636027614331;252.7;49.6;22.7;0.3;0.5;1.9
walk;Id5;1636027614351;252.5;48.9;22.6;-0.1;1.5;1.6
walk;Id5;1636027614372;252.2;47.9;22.5;-0.3;2.1;0.8
walk;Id5;1636027614384;251.9;47.2;22.5;-0.3;2.1;0.8
walk;Id5;1636027614396;251.9;47.2;22.5;-0.9;2;1.7
walk;Id5;1636027614411;251.4;46.2;22.5;0.2;1.4;2
walk;Id5;1636027614433;250.7;44.5;22.7;0.9;1.1;0.3
walk;Id5;1636027614454;250.3;43.8;22.9;0;0.8;-1.4
walk;Id5;1636027614473;249.9;43.4;22.9;-1;0.8;-0.5
walk;Id5;1636027614502;249.2;42.1;23.1;1;-0.3;-0.2
walk;Id5;1636027614524;249;41.3;23;1.3;-0.7;-1.5
walk;Id5;1636027614552;248.7;40.4;22.8;0.1;-1.2;-1.8
walk;Id5;1636027614571;248.4;40.2;22.8;0.3;-1.8;-1.1
walk;Id5;1636027614594;248.2;40.1;23;0.9;-2;-1
walk;Id5;1636027614614;248;39.9;23.2;1.7;-2.4;-3
walk;Id5;1636027614635;247.5;39.6;23.7;1.4;-2.2;-2.5
walk;Id5;1636027614654;247;39.5;24.2;1.9;-2.6;-2.5
