activity;sampleId;stamp;alpha;beta;gamma;x;y;z
walk;Id4;1636027613490;276.8;59.3;0.2;0.1;-0.2;0.4
walk;Id4;1636027613535;276.8;59.1;-0.1;0;-0.1;0.2
walk;Id4;1636027613575;276.8;59;-0.4;0.1;0;-0.2
walk;Id4;1636027613612;276.8;58.8;-0.8;0.3;0.1;-0.1
walk;Id4;1636027613656;276.7;58.6;-1;0.1;0.1;0
walk;Id4;1636027613681;276.7;58.4;-1.2;0.1;0.1;0
walk;Id4;1636027613709;276.6;58.2;-1.5;0.1;0;0.1
walk;Id4;1636027613747;276.5;58.1;-1.7;0.1;0;0
walk;Id4;1636027613776;276.5;58;-1.9;0.1;0;0.1
walk;Id4;1636027613795;276.5;58;-1.9;0.2;0;0
walk;Id4;1636027613804;276.5;58;-1.9;0.2;0;-0.1
walk;Id4;1636027613812;276.5;58;-1.9;0.2;0;-0.1
walk;Id4;1636027613820;276.3;58;-2.1;0.2;0;-0.1
walk;Id4;1636027613829;276.3;58;-2.1;0.2;0;-0.1
walk;Id4;1636027613845;276.2;57.9;-2.1;0.1;0;0
walk;Id4;1636027613873;276.1;57.8;-2.2;0.1;0;0.1
walk;Id4;1636027613885;275.9;57.8;-2.2;0.1;0;0.1
walk;Id4;1636027613897;275.9;57.8;-2.2;0.1;0.1;0
walk;Id4;1636027613916;275.8;57.8;-2.3;0.1;-0.1;0
walk;Id4;1636027613940;275.7;57.8;-2.3;0.1;0.1;-0.1
walk;Id4;1636027613969;275.3;57.6;-2.3;0.1;0.2;-0.1
walk;Id4;1636027613988;275.3;57.6;-2.3;0;0;0.1
walk;Id4;1636027614006;275.2;57.6;-2.3;0;0;0.2
walk;Id4;1636027614016;275;57.7;-2.4;0;0;0.2
walk;Id4;1636027614020;275;57.7;-2.4;0;0;0.2
walk;Id4;1636027614031;275;57.7;-2.4;0;0;0.2
walk;Id4;1636027614040;275;57.7;-2.4;0.1;0.1;0.1
walk;Id4;1636027614053;274.8;57.7;-2.4;0.1;0.1;0.1
walk;Id4;1636027614065;274.8;57.7;-2.4;0.1;0;0
walk;Id4;1636027614081;274.7;57.8;-2.5;0.1;0;0
walk;Id4;1636027614097;274.6;57.8;-2.6;0.1;0.1;0.1
walk;Id4;1636027614122;274.5;57.8;-2.6;0.2;0.3;-2.1
walk;Id4;1636027614149;274.3;58;-2.4;-0.1;-0.3;-1.9
walk;Id4;1636027614169;274.3;58;-2.4;0.4;-0.4;-0.1
walk;Id4;1636027614194;273.8;58;-1.7;0.2;-0.2;0.9
walk;Id4;1636027614219;273.4;57.9;-1.5;0.1;0.2;0.1
walk;Id4;1636027614245;273.1;57.9;-1.3;0;0.3;0.2
walk;Id4;1636027614259;272.5;57.6;-1.2;0;0.3;0.2
walk;Id4;1636027614270;272.4;57.5;-1.2;0;0.3;0.2
walk;Id4;1636027614278;272.4;57.5;-1.2;0;0.3;0.2
walk;Id4;1636027614296;272.2;57.4;-1.3;0.1;0.3;0
walk;Id4;1636027614323;272.1;57.4;-1.4;0.2;0.4;-0.1
walk;Id4;1636027614344;271.9;57.3;-1.5;0.2;0.4;-0.1
walk;Id4;1636027614379;271.8;57.2;-1.6;0.4;0.1;0.2
walk;Id4;1636027614404;271.5;57.2;-1.8;0.5;-0.2;0.2
walk;Id4;1636027614428;270.9;57.3;-1.8;0.6;-0.3;-0.1
walk;Id4;1636027614448;270.5;57.3;-1.8;0.6;-0.5;-0.3
walk;Id4;1636027614466;270.1;57.3;-1.8;0.6;-0.6;-0.6
walk;Id4;1636027614494;269.6;57.3;-1.7;0.6;-0.5;-1.1
walk;Id4;1636027614509;268.5;57.3;-1.4;0.6;-0.7;-1.5
walk;Id4;1636027614535;267.8;57;-1.2;0.5;-1.5;-1.5
walk;Id4;1636027614563;267.2;56.8;-1;0.5;-1.8;-1.8
walk;Id4;1636027614584;265.5;56.1;-0.1;0.8;-1.8;-2.2
walk;Id4;1636027614606;264.7;55.8;0.4;0.2;-1.5;-2.6
walk;Id4;1636027614626;262.7;55;1.9;0.2;-1.5;-2.6
walk;Id4;1636027614663;261;53.7;3;-0.2;-1.3;-2.4
walk;Id4;1636027614690;260.3;52.8;3.6;0;-1.8;-1.1
walk;Id4;1636027614719;258.7;51.3;4.6;0.4;-1.7;-1.5
walk;Id4;1636027614745;257.8;50.4;5.3;-0.8;-1.5;-1.5
walk;Id4;1636027614762;256.3;48.8;6.5;-1.1;-1.3;0.1
walk;Id4;1636027614791;255.8;48.4;6.9;0.8;-0.8;-0.6
walk;Id4;1636027614812;254.3;47.1;7.8;0.8;-0.8;-0.6
walk;Id4;1636027614848;253.4;45.8;8.5;-0.3;0.8;2.4
walk;Id4;1636027614873;253.1;45.3;8.5;0.3;1;2.1
walk;Id4;1636027614904;252.4;44.7;8.8;-0.5;2.1;1.7
walk;Id4;1636027614936;251.9;44.5;9.3;-1;3;2.9
walk;Id4;1636027614970;251.3;44.2;9.8;-0.6;3.2;3.4
walk;Id4;1636027615001;250.9;44.3;10.3;-1;4.1;1.8
walk;Id4;1636027615031;249.8;44.6;11.5;-0.9;4.2;-0.1
walk;Id4;1636027615067;248.7;44.4;12.8;-1.6;4.1;-0.6
walk;Id4;1636027615096;248;43.1;14.4;-1.6;2.9;1.3
walk;Id4;1636027615120;247.1;42.2;16.2;-1.2;2;2.3
walk;Id4;1636027615141;246.4;42.2;17.3;-1.7;2.2;1.9
walk;Id4;1636027615175;244.6;44.4;19.2;-1.7;2.4;0.9
walk;Id4;1636027615203;244.3;46.6;19.3;-1.5;2.4;-0.7
walk;Id4;1636027615220;244.3;46.6;19.3;-1.3;2.4;-1.8
walk;Id4;1636027615246;244.4;47.3;19.2;-1.1;1.2;-1.1
walk;Id4;1636027615264;245;48.7;18.5;-0.8;0.5;-0.3
walk;Id4;1636027615297;245.4;49.7;18.1;-0.3;1.4;-1.2
walk;Id4;1636027615325;246.2;51.5;17.5;0;0.6;0.9
walk;Id4;1636027615358;247.5;54.5;17.3;0;-0.2;1.1
walk;Id4;1636027615384;249.2;57;16.4;0;-0.9;1.8
walk;Id4;1636027615411;249.9;58.4;16;1.3;-2.3;1.8
walk;Id4;1636027615445;253.3;62.7;13.5;-0.6;-2.8;-2.5
walk;Id4;1636027615491;255.6;63.9;11.5;-1;-3.1;-2.4
walk;Id4;1636027615531;267.8;66.1;0.6;0.7;-4.5;1.4
walk;Id4;1636027615555;274.6;66.6;-5.6;-0.3;-5.5;0.2
walk;Id4;1636027615586;280.7;67.2;-11.3;1.5;-5.1;-1.3
walk;Id4;1636027615620;283;67.5;-14.1;6;-2.6;-0.2
walk;Id4;1636027615645;282.4;67.6;-13.4;-0.7;-5.3;-6.7
walk;Id4;1636027615670;280.5;64.8;-12.3;1.1;-4.8;-4.8
walk;Id4;1636027615692;279.2;62.7;-10.9;-0.2;-4.5;-2.6
walk;Id4;1636027615726;276.5;57.2;-8;-0.5;-5;-3.5
walk;Id4;1636027615754;275.4;54.3;-7;-0.5;-3.6;-2.6
walk;Id4;1636027615774;274;49.3;-5.3;-0.5;-3.6;-2.6
walk;Id4;1636027615792;273.3;46.7;-4.6;-0.5;-3.3;-0.3
walk;Id4;1636027615822;273;45.1;-4.2;-0.2;-1.5;0.4
walk;Id4;1636027615842;272.3;41.6;-3.8;-0.2;-1.5;0.4
walk;Id4;1636027615872;272.1;40.3;-3.6;0.3;2.1;2.5
walk;Id4;1636027615892;271.6;37.2;-3;0.3;2.1;2.5
walk;Id4;1636027615922;271.4;33.8;-2.4;0.5;6.1;2.7
walk;Id4;1636027615941;271.2;31.8;-1.8;0.5;6.1;2.7
